Section,Location,Citation_Type,Suggested_Paper_Gist,Full_Citation,Priority
Literature Review - Algorithmic Governance,After discussing input/throughput/output legitimacy,Multi-dimensional legitimacy framework,"Democratic legitimacy requires input (participation), throughput (procedure), and output (effectiveness)","Schmidt, Vivien A. 2013. 'Democracy and Legitimacy in the European Union Revisited: Input, Output and 'Throughput'.' Political Studies 61(1): 2–22.",High
Literature Review - Algorithmic Governance,When discussing algorithmic fairness,Fairness definitions in ML,Multiple incompatible definitions of algorithmic fairness; impossibility of satisfying all simultaneously,"Kleinberg, Jon, Sendhil Mullainathan, and Manish Raghavan. 2017. 'Inherent Trade-Offs in the Fair Determination of Risk Scores.' In Proceedings of Innovations in Theoretical Computer Science.",Medium
Literature Review - Voting Power,After introducing Banzhaf and Shapley-Shubik indices,Power index comparison,Banzhaf and Shapley-Shubik indices often diverge; measure different aspects of voting power,"Felsenthal, Dan S., and Moshé Machover. 1998. The Measurement of Voting Power: Theory and Practice, Problems and Paradoxes. Cheltenham: Edward Elgar.",Medium
Literature Review - Voting Power,When discussing endogenous coalition formation,Coalition formation theory,Analyzes how equilibrium coalitions form through bargaining; extends power index analysis,"Aumann, Robert J., and Roger B. Myerson. 1988. 'Endogenous Formation of Links Between Players and of Coalitions: An Application of the Shapley Value.' In The Shapley Value: Essays in Honor of Lloyd S. Shapley, edited by Alvin E. Roth, 175–91. Cambridge: Cambridge University Press.",Low
Literature Review - Relational Autonomy,After discussing three-dimensional autonomy,Foundational relational autonomy work,Autonomy is socially constituted; relationships and social structures enable or constrain autonomous choice,"Mackenzie, Catriona, and Natalie Stoljar, eds. 2000. Relational Autonomy: Feminist Perspectives on Autonomy, Agency, and the Social Self. New York: Oxford University Press.",High
Literature Review - Relational Autonomy,When discussing oppressive relationships undermining consent,Coercion and oppression analysis,Oppressive social structures systematically constrain women's autonomy through relational mechanisms,"Nedelsky, Jennifer. 1989. 'Reconceiving Autonomy: Sources, Thoughts and Possibilities.' Yale Journal of Law and Feminism 1(1): 7–36.",Medium
Historical Validation - Suffrage,When discussing women's suffrage timeline,Comparative suffrage history,Cross-national analysis of suffrage timing; electoral logic drove gradual enfranchisement,"Teele, Dawn Langan. 2018. 'How the West Was Won: Competition, Mobilization, and Women's Enfranchisement in the United States.' Journal of Politics 80(2): 442–61.",High
Historical Validation - Suffrage,After mentioning international demonstration effects,Transnational suffrage networks,Suffrage movements formed transnational networks; international diffusion accelerated adoption,"Ramirez, Francisco O., Yasemin Soysal, and Suzanne Shanahan. 1997. 'The Changing Logic of Political Citizenship: Cross-National Acquisition of Women's Suffrage Rights, 1890 to 1990.' American Sociological Review 62(5): 735–45.",Medium
Historical Validation - Abolition,When discussing British abolition movements,Abolition campaign history,"British abolition succeeded through combining parliamentary lobbying, mass petition campaigns, and moral pressure","Drescher, Seymour. 1987. Capitalism and Antislavery: British Mobilization in Comparative Perspective. Oxford: Oxford University Press.",High
Historical Validation - Abolition,After mentioning slave rebellions generating friction,Slave resistance and abolition,Haitian Revolution and other slave uprisings forced reconsideration of slavery's sustainability,"Blackburn, Robin. 1988. The Overthrow of Colonial Slavery, 1776–1848. London: Verso.",Medium
Historical Validation - Labor Rights,When discussing German codetermination origins,Codetermination history,German codetermination emerged from collective bargaining between business and labor 1918-1922 and 1945-1951,"McGaughey, Ewan. 2016. 'The Codetermination Bargains: The History of German Corporate and Labour Law.' Columbia Journal of European Law 23(1): 135–76.",High
Historical Validation - Labor Rights,After discussing codetermination outcomes,Empirical codetermination effects,"German firms with codetermination show lower strike rates, longer tenure, stable returns compared to Anglo-American firms","Jäger, Simon, Shakked Noy, and Benjamin Schoefer. 2022. 'What Does Codetermination Do?' ILR Review 75(4): 857–90.",High
Historical Validation - Platform Governance,When discussing platform rebellions,Platform governance crisis,"Content moderation legitimacy crisis driven by perceived bias, lack of transparency, and user exclusion","Gillespie, Tarleton. 2018. Custodians of the Internet: Platforms, Content Moderation, and the Hidden Decisions That Shape Social Media. New Haven: Yale University Press.",High
Historical Validation - Platform Governance,After mentioning Meta Oversight Board,Oversight Board evaluation,Meta's Oversight Board provides limited voice expansion but maintains corporate control over fundamental rules,"Douek, Evelyn. 2022. 'Content Moderation as Systems Thinking.' Harvard Law Review 136: 526–606.",Medium
Computational Validation,When introducing Monte Carlo methods,Monte Carlo methodology,Monte Carlo methods use repeated random sampling to obtain numerical results; foundational computational technique,"Robert, Christian P., and George Casella. 2004. Monte Carlo Statistical Methods. 2nd ed. New York: Springer.",Medium
Computational Validation,After describing agent-based modeling,ABM methodology,Agent-based modeling enables bottom-up simulation of complex systems through individual agent interactions,"Epstein, Joshua M. 2006. Generative Social Science: Studies in Agent-Based Computational Modeling. Princeton: Princeton University Press.",High
Computational Validation,When introducing Bayesian learning dynamics,Bayesian updating theory,Bayesian inference provides normative framework for belief updating given new evidence,"Savage, Leonard J. 1954. The Foundations of Statistics. New York: John Wiley & Sons.",Medium
Computational Validation,After discussing preference convergence,Opinion dynamics modeling,DeGroot model of opinion formation shows how beliefs converge through weighted averaging in networks,"DeGroot, Morris H. 1974. 'Reaching a Consensus.' Journal of the American Statistical Association 69(345): 118–21.",Low
Computational Validation,When discussing parameter estimation for ABMs,ABM calibration methods,Sequential Monte Carlo enables parameter estimation for agent-based models through particle filtering,"Lux, Thomas, and Sascha Schiffko. 2018. 'Estimation of Agent-Based Models Using Sequential Monte Carlo Methods.' Journal of Economic Dynamics and Control 91: 391–408.",Medium
Formal Framework,When introducing consent as normative right,Consent theory foundations,Consent theory grounds political obligation in voluntary agreement; actual consent required for legitimacy,"Locke, John. 1689/1980. Second Treatise of Government. Edited by C. B. Macpherson. Indianapolis: Hackett.",High
Formal Framework,After presenting axioms,Axiomatic method in social choice,Axiomatic approach identifies minimal assumptions required for deriving impossibility/possibility results,"Arrow, Kenneth J. 1951. Social Choice and Individual Values. New York: Wiley.",High
Legitimacy Definition,When operationalizing legitimacy measurement,Legitimacy measurement frameworks,"Input, throughput, and output legitimacy provide multi-dimensional framework for assessing institutions","Scharpf, Fritz W. 1999. Governing in Europe: Effective and Democratic? Oxford: Oxford University Press.",High
Objections - Infinite Regress,When addressing meta-level consent,Constitutional founding moments,Constituent power creates constitutional order through founding act outside existing legal framework,"Arendt, Hannah. 1963. On Revolution. New York: Viking Press.",Medium
Objections - Future Generations,When discussing proxy representation,Intergenerational justice theory,Current generations hold Earth in trust for future generations; fiduciary duties constrain present choices,"Beckerman, Wilfred, and Joanna Pasek. 2001. Justice, Posterity, and the Environment. Oxford: Oxford University Press.",Medium
